make,model,price,body_color,interior_color,interior_material,body,doors,seats,vin,fuel,transmission,drive_type,power,engine_capacity,co2_emission,emission_class,driven_distance,first_registration,condition
Seat,Leon,3 049 €,None,Interior color,Other interior material,Compact,4/5 doors,5,1249,Petrol,Manual,4x2,92 kW,1 390 cc,149,Euro 4,158 500 km,6/2009,Used
Opel,Crossland X,15 899 €,Orange,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,88 kW,15 600 cc,103,Euro 6,69 000 km,8/2017,2
Kia,XCeed,24 649 €,Silver,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,103 kW,13 534 cc,134,Euro 6d-TEMP,19 500 km,10/2020,Used
Renault,Clio,15 099 €,Grey,Interior color,Other interior material,Compact,4/5 doors,1090,None,Diesel,Manual,4x2,66 kW,14 641 cc,135,Euro 6,13 884 km,11/2019,Used
Mercedes-Benz,E 350,10 899 €,Black,Type of finish,Beige interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,200 kW,3 498 cc,261,Euro 4,163 000 km,1/2009,2
Fiat,Grande Punto,2 699 €,Blue,Interior color,Other interior material,Sedans / saloons,4/5 doors,5,None,Petrol,Manual,4x2,48 kW,1 242 cc,139,Euro 4,146 000 km,5/2009,2
Audi,S3,36 199 €,Yellow,Type of finish,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x4,228 kW,1 984 cc,169,Euro 6d,14 470 km,3/2021,1
Volkswagen,T-Roc,30 999 €,White,Interior color,Cloth interior,SUV / offroad,4/5 doors,5,None,Petrol,Manual,4x2,110 kW,14 980 cc,149,Euro 6,7 866 km,5/2022,Demonstration car
Chevrolet,Matiz,3 099 €,Other interior color,Interior material,Compact,4/5 doors,5,850,None,Petrol,Manual,4x2,38 kW,796 cc,127,Euro 4,56 157 km,8/2009,Used
Opel,Insignia,8 399 €,Black,Type of finish,Brown interior,Full leather interior,Station Wagon,4/5 doors,5,Petrol,Manual,4x4,221 kW,1 998 cc,219,Euro 5,135 000 km,4/2009,4
Opel,Astra,4 699 €,Grey,Type of finish,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,85 kW,1 598 cc,158,Euro 4,134 802 km,3/2009,2
Ford,Fiesta,3 849 €,Silver,Type of finish,Grey interior,Cloth interior,Compact,4/5 doors,5,Petrol,Manual,4x2,60 kW,1 242 cc,133,Euro 5,120 160 km,3/2009,2
Volkswagen,Caddy,22 649 €,Blue,Type of finish,Black interior,Cloth interior,Cargo VAN,4/5 doors,2,Diesel,Automatic,4x4,110 kW,1 968 cc,144,Euro 6,53 952 km,6/2019,Used
Dodge,Charger,41 899 €,Green,Type of finish,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,362 kW,6 417 cc,333,Euro 6,31 200 km,8/2019,2
Dodge,RAM,47 099 €,Blue,Interior color,Alcantara interior,Pick-up,4/5 doors,5,None,Petrol,Automatic,4x4,295 kW,5 654 cc,298,Euro 6,7 600 km,3/2021,1
Opel,Antara,7 099 €,Black,Type of finish,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,120 kW,2 231 cc,167,Euro 5,123 500 km,6/2015,Used
Seat,Leon,3 049 €,None,Interior color,Other interior material,Compact,4/5 doors,5,1249,Petrol,Manual,4x2,92 kW,1 390 cc,149,Euro 4,158 500 km,6/2009,Used
Opel,Crossland X,15 899 €,Orange,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,88 kW,15 600 cc,103,Euro 6,69 000 km,8/2017,2
Kia,XCeed,24 649 €,Silver,Type of finish,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,103 kW,13 534 cc,134,Euro 6d-TEMP,19 500 km,10/2020,Used
