title,rating,description,release_date,genre,casts,duration,country,production,m_link
Where Are You,N/A,"A photographer suffering under artist decline begins taking out his aggression on his girlfriend. When she disappears, he enters his subconscious, descending down a spiral of mystery and madness on his search for her, as well as himself.",2022-10-21,Thriller,"['Brad Greenquist', 'Madeline Brewer', 'Ray Nicholson', 'Mickey Sumner', 'Rita Taggart']",94,United States of America,['Carte Blanche'],https://cineb.net/movie/watch-where-are-you-free-89422
The Domestic,N/A,"An upper-class couple hire the daughter of their recently deceased housekeeper as their new helper, only for things to take a dark and macabre turn when she tries to destroy them from within.",2022-10-21,Thriller,['Amanda Du-Pont.'],110,South Africa,['Mandeville Films'],https://cineb.net/movie/watch-the-domestic-free-89413
A Chance Encounter,N/A,"In the Sicilian town of Taormina, Italy, an aspiring writer in search of inspiration meets a folk singer trying to write a follow up to her breakout hit. Their chemistry sparks collaboration, challenging each other to express their thorniest secrets.",2022-10-28,Drama,"['Vincenzo Vivenzio', 'Kenny Burns', 'Jason Edwards', 'Kyle Brunick', 'Michele Scimone']",91,United States of America,['Bespoke Works'],https://cineb.net/movie/watch-a-chance-encounter-free-89404
V/H/S/99,N/A,A teenager’s home video leads to a series of horrifying revelations.,2022-09-15,Horror,"['Jackson Kelly', 'Verona Blue', 'Archelaus Crisanto', 'Tyler Lofton', 'Alexia Ioannides']",99,United States of America,"['Bloody Disgusting', 'Radio Silence', 'Studio 71', 'Cinepocalypse']",https://cineb.to/movie/watch-vhs99-free-89401
Raymond & Ray,N/A,"Half brothers Raymond and Ray reunite when their estranged father dies—and discover that his final wish was for them to dig his grave. Together, they process who they’ve become as men, both because of their father and in spite of him.",2022-10-14,Drama,"['Gina Jun', 'Sophie Okonedo', 'Vondie Curtis-Hall', 'Lyeneal Griffin', 'Chris Grabher']",106,United States of America,"['Esperanto Filmoj', 'Apple Inc.', 'Mockingbird Pictures']",https://cineb.net/movie/watch-raymond-ray-free-89395
Millie Lies Low,N/A,"A panic attack causes Millie to miss her flight to New York. Everyone thinks she’s made it though, thanks to her fake Instagram posts from the “Big Apple”. A tragicomic hunt for a new ticket ensues, as she attempts to beat the clock, her fears and the truth.",2022-07-21,Drama,"['Sam Cotton', 'Chris Alosio', 'Cohen Holloway', 'Alice May Connolly', 'Ana Scotney']",100,New Zealand,"['Sandy Lane Productions', 'Lie Low Limited']",https://cineb.net/movie/watch-millie-lies-low-free-89392
Matriarch,N/A,"Afflicted with a mysterious disease after surviving an overdose, a woman returns to her childhood home to confront her personal demons but instead discovers a real one.",2022-10-11,Horror,"['Clare Barrett', 'Kate Lynn Evans', 'Nick Haverson', 'Simon Meacock', 'Frances Ashman']",85,United States of America,"['20th Digital Studio', 'Sharp House']",https://cineb.net/movie/watch-matriarch-free-89389
Dangerous Game: The Legacy Murders,N/A,A family reunion at a remote mansion takes a lethal turn when they are trapped inside and forced to play a deadly survival game where only one will make it out alive.,2022-10-21,Thriller,"['Skyler Shaye', 'Will Sasso', 'Dylan Playfair', 'Jonathan Rhys Meyers', 'Megan Charpentier']",96,Canada,"['Front Street Pictures', 'Gaming Danger Productions', 'SP Media Group']",https://cineb.net/movie/watch-dangerous-game-the-legacy-murders-free-89383
Claydream,N/A,"A modern day Walt Disney, Will Vinton picked up a ball of clay and saw a world of potential. Known as the “Father of Claymation,” Vinton revolutionized the animation business during the 80s and 90s. But after 30 years of being the unheralded king of clay, Will Vinton’s carefully sculpted American dream came crumbling down.  Structured around interviews with this charismatic pioneer and his close collaborators, the film charts the rise and fall of the Academy Award and Emmy winning Will Vinton Studios.",2022-08-05,Documentary,"['Michele Mariana', 'Melissa Mitchell', 'Peter Lord', 'Webster Colcord', 'Chris Ohlgren']",96,United States of America,"['Starburns Industries', 'The McCaw', 'XYZ Films']",https://cineb.net/movie/watch-claydream-free-89380
The Book of Delights,6.4,"The film brings Clarice Lispector’s novel Uma Aprendizagem ou O Livro dos Prazeres to the current days. In the plot, Lóri is a lonely and melancholic woman. She divides her time between her duties as a school teacher and her relationships, which are always fast and shallow. By chance, she meets Ulisses, an acknowledged Philosophy professor, who is self centered and provocative. Although he knows nothing about women, Lóri learns with him how to love and to face her own loneliness.",2020-10-22,Drama,"['Javier Drolas', 'Leandra Leal', 'Ana Carbatti', 'Julia Leal Youssef', 'Martha Nowill']",99,Brazil,"['República Pureza Filmes', 'Cinematográfica Marcela', 'Rizoma Films', 'Big Bonsai']",https://cineb.net/movie/watch-the-book-of-delights-free-89356
The Rebellious Life of Mrs. Rosa Parks,7.5,"Beyond her historic role in the Montgomery Bus Boycott, this comprehensive dive into Civil Rights icon Rosa Parks sheds light on her extensive organizing, radical politics, and lifelong dedication to activism.",2022-06-16,Documentary,"['Bryan Stevenson', 'Patrisse Cullors', 'Ericka Huggins', 'Rosa Parks']",96,United States of America,"[""SO'B Productions""]",https://cineb.net/movie/watch-the-rebellious-life-of-mrs-rosa-parks-free-89353
