Title,Address,Rent Price,Surface,Rooms,Interior Status,Agency,Contact,Link
Apartment Hoofdweg,1058 BC Amsterdam (Westindische Buurt),"3,000 ",155 ,6 ,Upholstered,Out Amsterdam,+31208118850,https://www.pararius.com/apartment-for-rent/amsterdam/1c7e95c0/hoofdweg
Apartment Grootzeilhof,1034 MC Amsterdam (Banne Buiksloot),"2,200 ",80 ,3 ,Furnished,Expat Rental Services BV,/real-estate-agents/amsterdam/expat-rental-services-bv,https://www.pararius.com/apartment-for-rent/amsterdam/af5ece04/grootzeilhof
House Edammerstraat 54,1023 VC Amsterdam (Tuindorp Nieuwendam),"1,700 ",64 ,4 ,Furnished,Amsterdam Wonen,+31202440146,https://www.pararius.com/house-for-rent/amsterdam/a2dd8702/edammerstraat
Apartment Eerste Jan van der Heijdenstraat 116 H,1072 VB Amsterdam (Oude Pijp),"4,500 ",83 ,3 ,Furnished,ViaDaan,/real-estate-agents/eindhoven/viadaan-nijmegen,https://www.pararius.com/apartment-for-rent/amsterdam/8fca53db/eerste-jan-van-der-heijdenstraat
Apartment Van Bossestraat,1051 JS Amsterdam (Staatsliedenbuurt),"1,450 ",40 ,2 ,Upholstered,Sellaspace Real Estate,+31352031063,https://www.pararius.com/apartment-for-rent/amsterdam/69726de9/van-bossestraat
Apartment Nicolaas Maesstraat 65 II,1071 PR Amsterdam (Museumkwartier),"2,250 ",62 ,3 ,Upholstered,Dutch Housing Centre BV,+31206621234,https://www.pararius.com/apartment-for-rent/amsterdam/8ffff0c4/nicolaas-maesstraat
Apartment Zuid-Hollandstraat 88 2,1082 EL Amsterdam (Buitenveldert-West),"1,900 ",70 ,3 ,Upholstered,EarthRock Housing,+31610293735,https://www.pararius.com/apartment-for-rent/amsterdam/e37bd8a2/zuid-hollandstraat
Apartment Reyer Anslostraat 24 1,1054 KV Amsterdam (Overtoomse Sluis),"2,000 ",55 ,3 ,Furnished,Van Huis Uit Makelaars,+31208903099,https://www.pararius.com/apartment-for-rent/amsterdam/080fefbd/reyer-anslostraat
Apartment Sanderijnstraat,1055 BM Amsterdam (Erasmuspark),"1,895 ",65 ,3 ,Upholstered,A Plus Apartments,+31204422170,https://www.pararius.com/apartment-for-rent/amsterdam/dab38845/sanderijnstraat
Apartment Banstraat 25 B*,1071 JW Amsterdam (Museumkwartier),"11,000 ",194 ,4 ,Undefined,Ter Haar Makelaars B.V.,+31205736000,https://www.pararius.com/apartment-for-rent/amsterdam/d0a12740/banstraat
Apartment Balistraat 48 II,1094 JN Amsterdam (Indische Buurt West),"1,750 ",50 ,2 ,Upholstered,HousingNet,+31207601500,https://www.pararius.com/apartment-for-rent/amsterdam/d388c17d/balistraat
Apartment Van Baerlestraat,1071 BB Amsterdam (Museumkwartier),"2,350 ",55 ,3 ,Upholstered or furnished,Keij & Stefels Makelaars en Taxateurs,+31205775333,https://www.pararius.com/apartment-for-rent/amsterdam/150ee52c/van-baerlestraat
Apartment Geuzenstraat,1056 JZ Amsterdam (Geuzenbuurt),"1,775 ",65 ,3 ,Furnished,CITYHOP Real Estate,+31202218732,https://www.pararius.com/apartment-for-rent/amsterdam/2268e74a/geuzenstraat
Studio Westerstraat,1015 ML Amsterdam (Jordaan),"1,350 ",30 ,1 room,Upholstered,Michiel Stolker Real Estate,+31640940924,https://www.pararius.com/studio-for-rent/amsterdam/b95c2d9f/westerstraat
